Date,Open,High,Low,Close,Adj Close,Volume
2024-01-03,1.650000,1.650000,1.650000,1.650000,1.638653,2005
2024-01-04,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-05,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-08,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-09,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-10,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-11,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-12,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-16,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-17,1.650000,1.650000,1.650000,1.650000,1.638653,647
2024-01-18,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-19,1.650000,1.650000,1.650000,1.650000,1.638653,2361
2024-01-22,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-23,1.650000,1.650000,1.650000,1.650000,1.638653,0
2024-01-24,1.740000,1.740000,1.680000,1.680000,1.668447,1389
2024-01-25,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-01-26,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-01-29,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-01-30,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-01-31,1.680000,1.680000,1.680000,1.680000,1.668447,517
2024-02-01,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-02-02,1.680000,1.680000,1.680000,1.680000,1.668447,0
2024-02-05,1.565000,1.565000,1.565000,1.565000,1.554238,166
2024-02-06,1.565000,1.565000,1.565000,1.565000,1.554238,0
2024-02-07,1.565000,1.565000,1.565000,1.565000,1.554238,0
2024-02-08,1.565000,1.565000,1.565000,1.565000,1.554238,0
2024-02-09,1.565000,1.565000,1.565000,1.565000,1.554238,0
2024-02-12,1.565000,1.565000,1.565000,1.565000,1.554238,0
2024-02-13,1.560000,1.560000,1.560000,1.560000,1.549272,5058
2024-02-14,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-15,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-16,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-20,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-21,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-22,1.560000,1.560000,1.560000,1.560000,1.549272,0
2024-02-23,1.560000,1.560000,1.560000,1.560000,1.560000,0
2024-02-26,1.560000,1.560000,1.560000,1.560000,1.560000,0
2024-02-27,1.560000,1.560000,1.560000,1.560000,1.560000,0
2024-02-28,1.560000,1.560000,1.560000,1.560000,1.560000,0
2024-02-29,1.560000,1.560000,1.560000,1.560000,1.560000,0
2024-03-01,1.560000,1.560000,1.560000,1.560000,1.560000,0
